[2016-01-04 11:11:03,421][INFO ][node                     ] [Sam Wilson] version[1.7.2], pid[19753], build[e43676b/2015-09-14T09:49:53Z]
[2016-01-04 11:11:03,421][INFO ][node                     ] [Sam Wilson] initializing ...
[2016-01-04 11:11:03,597][INFO ][plugins                  ] [Sam Wilson] loaded [], sites []
[2016-01-04 11:11:03,689][INFO ][env                      ] [Sam Wilson] using [1] data paths, mounts [[/ (/dev/disk1)]], net usable_space [3.1gb], net total_space [111.8gb], types [hfs]
[2016-01-04 11:11:07,220][INFO ][node                     ] [Sam Wilson] initialized
[2016-01-04 11:11:07,221][INFO ][node                     ] [Sam Wilson] starting ...
[2016-01-04 11:11:07,490][INFO ][transport                ] [Sam Wilson] bound_address {inet[/0:0:0:0:0:0:0:0:9300]}, publish_address {inet[/192.168.0.217:9300]}
[2016-01-04 11:11:07,596][INFO ][discovery                ] [Sam Wilson] elasticsearch/RI0wW6-GTAW4FXIFGHuTTA
[2016-01-04 11:11:11,414][INFO ][cluster.service          ] [Sam Wilson] new_master [Sam Wilson][RI0wW6-GTAW4FXIFGHuTTA][codehance.local][inet[/192.168.0.217:9300]], reason: zen-disco-join (elected_as_master)
[2016-01-04 11:11:11,435][INFO ][http                     ] [Sam Wilson] bound_address {inet[/0:0:0:0:0:0:0:0:9200]}, publish_address {inet[/192.168.0.217:9200]}
[2016-01-04 11:11:11,435][INFO ][node                     ] [Sam Wilson] started
[2016-01-04 11:11:11,456][INFO ][gateway                  ] [Sam Wilson] recovered [0] indices into cluster_state
[2016-01-04 11:11:41,435][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:11:41,444][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:12:11,435][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:12:41,441][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.8%], shards will be relocated away from this node
[2016-01-04 11:13:11,443][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:13:11,447][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:13:41,442][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:13:45,320][INFO ][cluster.metadata         ] [Sam Wilson] [blog] creating index, cause [auto(index api)], templates [], shards [5]/[1], mappings [user]
[2016-01-04 11:13:45,711][INFO ][cluster.metadata         ] [Sam Wilson] [blog] update_mapping [user] (dynamic)
[2016-01-04 11:14:11,455][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:14:11,456][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:14:41,456][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:14:43,091][INFO ][cluster.metadata         ] [Sam Wilson] [blog] update_mapping [post] (dynamic)
[2016-01-04 11:15:11,458][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:15:11,468][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:15:41,462][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:16:11,471][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:16:11,480][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
